run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max
General-11-20200611-17:02:59-11164,runattr,,,network,CellularNetwork,,,,,,,
General-11-20200611-17:02:59-11164,runattr,,,processid,11164,,,,,,,
General-11-20200611-17:02:59-11164,runattr,,,repetition,11,,,,,,,
General-11-20200611-17:02:59-11164,runattr,,,replication,#11,,,,,,,
General-11-20200611-17:02:59-11164,runattr,,,resultdir,results,,,,,,,
General-11-20200611-17:02:59-11164,runattr,,,runnumber,11,,,,,,,
General-11-20200611-17:02:59-11164,runattr,,,seedset,11,,,,,,,
General-11-20200611-17:02:59-11164,param,,,**.nUsers,10,,,,,,,
General-11-20200611-17:02:59-11164,param,,,**.timeslot,1ms,,,,,,,
General-11-20200611-17:02:59-11164,param,,,**.lambda,2ms,,,,,,,
General-11-20200611-17:02:59-11164,param,,,**.successProbGroup1,0.15,,,,,,,
General-11-20200611-17:02:59-11164,param,,,**.successProbGroup2,0,,,,,,,
General-11-20200611-17:02:59-11164,param,,,**.successProbGroup3,0.85,,,,,,,
General-11-20200611-17:02:59-11164,param,,,**.isBinomial,true,,,,,,,
General-19-20200611-17:03:37-11856,runattr,,,configname,General,,,,,,,
General-19-20200611-17:03:37-11856,runattr,,,datetime,20200611-17:03:37,,,,,,,
General-19-20200611-17:03:37-11856,runattr,,,experiment,General,,,,,,,
General-19-20200611-17:03:37-11856,runattr,,,inifile,omnetpp.ini,,,,,,,
General-19-20200611-17:03:37-11856,runattr,,,iterationvars,$0=2ms,,,,,,,
General-19-20200611-17:03:37-11856,runattr,,,iterationvarsf,2ms-,,,,,,,
General-19-20200611-17:03:37-11856,runattr,,,measurement,$0=2ms,,,,,,,
General-19-20200611-17:03:37-11856,runattr,,,network,CellularNetwork,,,,,,,
General-19-20200611-17:03:37-11856,runattr,,,processid,11856,,,,,,,
General-19-20200611-17:03:37-11856,runattr,,,repetition,19,,,,,,,
General-19-20200611-17:03:37-11856,runattr,,,replication,#19,,,,,,,
General-19-20200611-17:03:37-11856,runattr,,,resultdir,results,,,,,,,
General-19-20200611-17:03:37-11856,runattr,,,runnumber,19,,,,,,,
General-19-20200611-17:03:37-11856,runattr,,,seedset,19,,,,,,,
General-19-20200611-17:03:37-11856,param,,,**.nUsers,10,,,,,,,
General-19-20200611-17:03:37-11856,param,,,**.timeslot,1ms,,,,,,,
General-19-20200611-17:03:37-11856,param,,,**.lambda,2ms,,,,,,,
General-19-20200611-17:03:37-11856,param,,,**.successProbGroup1,0.15,,,,,,,
General-19-20200611-17:03:37-11856,param,,,**.successProbGroup2,0,,,,,,,
General-19-20200611-17:03:37-11856,param,,,**.successProbGroup3,0.85,,,,,,,
General-19-20200611-17:03:37-11856,param,,,**.isBinomial,true,,,,,,,
General-2-20200611-17:02:14-10448,runattr,,,configname,General,,,,,,,
General-2-20200611-17:02:14-10448,runattr,,,datetime,20200611-17:02:14,,,,,,,
General-2-20200611-17:02:14-10448,runattr,,,experiment,General,,,,,,,
General-2-20200611-17:02:14-10448,runattr,,,inifile,omnetpp.ini,,,,,,,
General-2-20200611-17:02:14-10448,runattr,,,iterationvars,$0=2ms,,,,,,,
General-2-20200611-17:02:14-10448,runattr,,,iterationvarsf,2ms-,,,,,,,
General-2-20200611-17:02:14-10448,runattr,,,measurement,$0=2ms,,,,,,,
General-2-20200611-17:02:14-10448,runattr,,,network,CellularNetwork,,,,,,,
General-2-20200611-17:02:14-10448,runattr,,,processid,10448,,,,,,,
General-2-20200611-17:02:14-10448,runattr,,,repetition,2,,,,,,,
General-2-20200611-17:02:14-10448,runattr,,,replication,#2,,,,,,,
General-2-20200611-17:02:14-10448,runattr,,,resultdir,results,,,,,,,
General-2-20200611-17:02:14-10448,runattr,,,runnumber,2,,,,,,,
General-2-20200611-17:02:14-10448,runattr,,,seedset,2,,,,,,,
General-2-20200611-17:02:14-10448,param,,,**.nUsers,10,,,,,,,
General-2-20200611-17:02:14-10448,param,,,**.timeslot,1ms,,,,,,,
General-2-20200611-17:02:14-10448,param,,,**.lambda,2ms,,,,,,,
General-2-20200611-17:02:14-10448,param,,,**.successProbGroup1,0.15,,,,,,,
General-2-20200611-17:02:14-10448,param,,,**.successProbGroup2,0,,,,,,,
General-2-20200611-17:02:14-10448,param,,,**.successProbGroup3,0.85,,,,,,,
General-2-20200611-17:02:14-10448,param,,,**.isBinomial,true,,,,,,,
General-22-20200611-17:03:51-6204,runattr,,,configname,General,,,,,,,
General-22-20200611-17:03:51-6204,runattr,,,datetime,20200611-17:03:51,,,,,,,
General-22-20200611-17:03:51-6204,runattr,,,experiment,General,,,,,,,
General-22-20200611-17:03:51-6204,runattr,,,inifile,omnetpp.ini,,,,,,,
General-22-20200611-17:03:51-6204,runattr,,,iterationvars,$0=2ms,,,,,,,
General-22-20200611-17:03:51-6204,runattr,,,iterationvarsf,2ms-,,,,,,,
General-22-20200611-17:03:51-6204,runattr,,,measurement,$0=2ms,,,,,,,
General-22-20200611-17:03:51-6204,runattr,,,network,CellularNetwork,,,,,,,
General-22-20200611-17:03:51-6204,runattr,,,processid,6204,,,,,,,
General-22-20200611-17:03:51-6204,runattr,,,repetition,22,,,,,,,
General-22-20200611-17:03:51-6204,runattr,,,replication,#22,,,,,,,
General-22-20200611-17:03:51-6204,runattr,,,resultdir,results,,,,,,,
General-22-20200611-17:03:51-6204,runattr,,,runnumber,22,,,,,,,
General-22-20200611-17:03:51-6204,runattr,,,seedset,22,,,,,,,
General-22-20200611-17:03:51-6204,param,,,**.nUsers,10,,,,,,,
General-22-20200611-17:03:51-6204,param,,,**.timeslot,1ms,,,,,,,
General-22-20200611-17:03:51-6204,param,,,**.lambda,2ms,,,,,,,
General-22-20200611-17:03:51-6204,param,,,**.successProbGroup1,0.15,,,,,,,
General-22-20200611-17:03:51-6204,param,,,**.successProbGroup2,0,,,,,,,
General-22-20200611-17:03:51-6204,param,,,**.successProbGroup3,0.85,,,,,,,
General-22-20200611-17:03:51-6204,param,,,**.isBinomial,true,,,,,,,
General-17-20200611-17:03:27-12588,runattr,,,configname,General,,,,,,,
General-17-20200611-17:03:27-12588,runattr,,,datetime,20200611-17:03:27,,,,,,,
General-17-20200611-17:03:27-12588,runattr,,,experiment,General,,,,,,,
General-17-20200611-17:03:27-12588,runattr,,,inifile,omnetpp.ini,,,,,,,
General-17-20200611-17:03:27-12588,runattr,,,iterationvars,$0=2ms,,,,,,,
General-17-20200611-17:03:27-12588,runattr,,,iterationvarsf,2ms-,,,,,,,
General-17-20200611-17:03:27-12588,runattr,,,measurement,$0=2ms,,,,,,,
General-17-20200611-17:03:27-12588,runattr,,,network,CellularNetwork,,,,,,,
General-17-20200611-17:03:27-12588,runattr,,,processid,12588,,,,,,,
General-17-20200611-17:03:27-12588,runattr,,,repetition,17,,,,,,,
General-17-20200611-17:03:27-12588,runattr,,,replication,#17,,,,,,,
General-17-20200611-17:03:27-12588,runattr,,,resultdir,results,,,,,,,
General-17-20200611-17:03:27-12588,runattr,,,runnumber,17,,,,,,,
General-17-20200611-17:03:27-12588,runattr,,,seedset,17,,,,,,,
General-17-20200611-17:03:27-12588,param,,,**.nUsers,10,,,,,,,
General-17-20200611-17:03:27-12588,param,,,**.timeslot,1ms,,,,,,,
General-17-20200611-17:03:27-12588,param,,,**.lambda,2ms,,,,,,,
General-17-20200611-17:03:27-12588,param,,,**.successProbGroup1,0.15,,,,,,,
General-17-20200611-17:03:27-12588,param,,,**.successProbGroup2,0,,,,,,,
General-17-20200611-17:03:27-12588,param,,,**.successProbGroup3,0.85,,,,,,,
General-17-20200611-17:03:27-12588,param,,,**.isBinomial,true,,,,,,,
General-18-20200611-17:03:32-15956,runattr,,,configname,General,,,,,,,
General-18-20200611-17:03:32-15956,runattr,,,datetime,20200611-17:03:32,,,,,,,
General-18-20200611-17:03:32-15956,runattr,,,experiment,General,,,,,,,
General-18-20200611-17:03:32-15956,runattr,,,inifile,omnetpp.ini,,,,,,,
General-18-20200611-17:03:32-15956,runattr,,,iterationvars,$0=2ms,,,,,,,
General-18-20200611-17:03:32-15956,runattr,,,iterationvarsf,2ms-,,,,,,,
General-18-20200611-17:03:32-15956,runattr,,,measurement,$0=2ms,,,,,,,
General-18-20200611-17:03:32-15956,runattr,,,network,CellularNetwork,,,,,,,
General-18-20200611-17:03:32-15956,runattr,,,processid,15956,,,,,,,
General-18-20200611-17:03:32-15956,runattr,,,repetition,18,,,,,,,
General-18-20200611-17:03:32-15956,runattr,,,replication,#18,,,,,,,
General-18-20200611-17:03:32-15956,runattr,,,resultdir,results,,,,,,,
General-18-20200611-17:03:32-15956,runattr,,,runnumber,18,,,,,,,
