run,type,module,name,attrname,attrvalue,value
General-21-20200127-15:31:08-7784,runattr,,,configname,General,
General-21-20200127-15:31:08-7784,runattr,,,datetime,20200127-15:31:08,
General-21-20200127-15:31:08-7784,runattr,,,experiment,General,
General-21-20200127-15:31:08-7784,runattr,,,inifile,omnetpp.ini,
General-21-20200127-15:31:08-7784,runattr,,,iterationvars,,
General-21-20200127-15:31:08-7784,runattr,,,iterationvarsf,,
General-21-20200127-15:31:08-7784,runattr,,,measurement,,
General-21-20200127-15:31:08-7784,runattr,,,network,CellularNetwork,
General-21-20200127-15:31:08-7784,runattr,,,processid,7784,
General-21-20200127-15:31:08-7784,runattr,,,repetition,21,
General-21-20200127-15:31:08-7784,runattr,,,replication,#21,
General-21-20200127-15:31:08-7784,runattr,,,resultdir,results,
General-21-20200127-15:31:08-7784,runattr,,,runnumber,21,
General-21-20200127-15:31:08-7784,runattr,,,seedset,21,
General-21-20200127-15:31:08-7784,param,,,**.nUsers,10,
General-21-20200127-15:31:08-7784,param,,,**.antenna.timeslot,1ms,
General-21-20200127-15:31:08-7784,param,,,**.antenna.lambda,1.3ms,
General-21-20200127-15:31:08-7784,param,,,**.antenna.successProbGroup1,0.2,
General-21-20200127-15:31:08-7784,param,,,**.antenna.successProbGroup2,0.5,
General-21-20200127-15:31:08-7784,param,,,**.antenna.successProbGroup3,0.9,
General-21-20200127-15:31:08-7784,param,,,**.antenna.isBinomial,true,
General-1-20200127-15:28:41-13264,runattr,,,configname,General,
General-1-20200127-15:28:41-13264,runattr,,,datetime,20200127-15:28:41,
General-1-20200127-15:28:41-13264,runattr,,,experiment,General,
General-1-20200127-15:28:41-13264,runattr,,,inifile,omnetpp.ini,
General-1-20200127-15:28:41-13264,runattr,,,iterationvars,,
General-1-20200127-15:28:41-13264,runattr,,,iterationvarsf,,
General-1-20200127-15:28:41-13264,runattr,,,measurement,,
General-1-20200127-15:28:41-13264,runattr,,,network,CellularNetwork,
General-1-20200127-15:28:41-13264,runattr,,,processid,13264,
General-1-20200127-15:28:41-13264,runattr,,,repetition,1,
General-1-20200127-15:28:41-13264,runattr,,,replication,#1,
General-1-20200127-15:28:41-13264,runattr,,,resultdir,results,
General-1-20200127-15:28:41-13264,runattr,,,runnumber,1,
General-1-20200127-15:28:41-13264,runattr,,,seedset,1,
General-1-20200127-15:28:41-13264,param,,,**.nUsers,10,
General-1-20200127-15:28:41-13264,param,,,**.antenna.timeslot,1ms,
General-1-20200127-15:28:41-13264,param,,,**.antenna.lambda,1.3ms,
General-1-20200127-15:28:41-13264,param,,,**.antenna.successProbGroup1,0.2,
General-1-20200127-15:28:41-13264,param,,,**.antenna.successProbGroup2,0.5,
General-1-20200127-15:28:41-13264,param,,,**.antenna.successProbGroup3,0.9,
General-1-20200127-15:28:41-13264,param,,,**.antenna.isBinomial,true,
General-0-20200127-15:28:34-19752,runattr,,,configname,General,
General-0-20200127-15:28:34-19752,runattr,,,datetime,20200127-15:28:34,
General-0-20200127-15:28:34-19752,runattr,,,experiment,General,
General-0-20200127-15:28:34-19752,runattr,,,inifile,omnetpp.ini,
General-0-20200127-15:28:34-19752,runattr,,,iterationvars,,
General-0-20200127-15:28:34-19752,runattr,,,iterationvarsf,,
General-0-20200127-15:28:34-19752,runattr,,,measurement,,
General-0-20200127-15:28:34-19752,runattr,,,network,CellularNetwork,
General-0-20200127-15:28:34-19752,runattr,,,processid,19752,
General-0-20200127-15:28:34-19752,runattr,,,repetition,0,
General-0-20200127-15:28:34-19752,runattr,,,replication,#0,
General-0-20200127-15:28:34-19752,runattr,,,resultdir,results,
General-0-20200127-15:28:34-19752,runattr,,,runnumber,0,
General-0-20200127-15:28:34-19752,runattr,,,seedset,0,
General-0-20200127-15:28:34-19752,param,,,**.nUsers,10,
General-0-20200127-15:28:34-19752,param,,,**.antenna.timeslot,1ms,
General-0-20200127-15:28:34-19752,param,,,**.antenna.lambda,1.3ms,
General-0-20200127-15:28:34-19752,param,,,**.antenna.successProbGroup1,0.2,
General-0-20200127-15:28:34-19752,param,,,**.antenna.successProbGroup2,0.5,
General-0-20200127-15:28:34-19752,param,,,**.antenna.successProbGroup3,0.9,
General-0-20200127-15:28:34-19752,param,,,**.antenna.isBinomial,true,
General-13-20200127-15:30:09-9896,runattr,,,configname,General,
General-13-20200127-15:30:09-9896,runattr,,,datetime,20200127-15:30:09,
General-13-20200127-15:30:09-9896,runattr,,,experiment,General,
General-13-20200127-15:30:09-9896,runattr,,,inifile,omnetpp.ini,
General-13-20200127-15:30:09-9896,runattr,,,iterationvars,,
General-13-20200127-15:30:09-9896,runattr,,,iterationvarsf,,
General-13-20200127-15:30:09-9896,runattr,,,measurement,,
General-13-20200127-15:30:09-9896,runattr,,,network,CellularNetwork,
General-13-20200127-15:30:09-9896,runattr,,,processid,9896,
General-13-20200127-15:30:09-9896,runattr,,,repetition,13,
General-13-20200127-15:30:09-9896,runattr,,,replication,#13,
General-13-20200127-15:30:09-9896,runattr,,,resultdir,results,
General-13-20200127-15:30:09-9896,runattr,,,runnumber,13,
General-13-20200127-15:30:09-9896,runattr,,,seedset,13,
General-13-20200127-15:30:09-9896,param,,,**.nUsers,10,
General-13-20200127-15:30:09-9896,param,,,**.antenna.timeslot,1ms,
General-13-20200127-15:30:09-9896,param,,,**.antenna.lambda,1.3ms,
General-13-20200127-15:30:09-9896,param,,,**.antenna.successProbGroup1,0.2,
General-13-20200127-15:30:09-9896,param,,,**.antenna.successProbGroup2,0.5,
General-13-20200127-15:30:09-9896,param,,,**.antenna.successProbGroup3,0.9,
General-13-20200127-15:30:09-9896,param,,,**.antenna.isBinomial,true,
General-15-20200127-15:30:23-7832,runattr,,,configname,General,
General-15-20200127-15:30:23-7832,runattr,,,datetime,20200127-15:30:23,
General-15-20200127-15:30:23-7832,runattr,,,experiment,General,
General-15-20200127-15:30:23-7832,runattr,,,inifile,omnetpp.ini,
General-15-20200127-15:30:23-7832,runattr,,,iterationvars,,
General-15-20200127-15:30:23-7832,runattr,,,iterationvarsf,,
General-15-20200127-15:30:23-7832,runattr,,,measurement,,
General-15-20200127-15:30:23-7832,runattr,,,network,CellularNetwork,
General-15-20200127-15:30:23-7832,runattr,,,processid,7832,
General-15-20200127-15:30:23-7832,runattr,,,repetition,15,
