run,type,module,name,attrname,attrvalue,value
General-13-20200127-16:41:20-22756,param,,,**.antenna.isBinomial,true,
General-1-20200127-16:40:10-7768,runattr,,,configname,General,
General-1-20200127-16:40:10-7768,runattr,,,datetime,20200127-16:40:10,
General-1-20200127-16:40:10-7768,runattr,,,experiment,General,
General-1-20200127-16:40:10-7768,runattr,,,inifile,omnetpp.ini,
General-1-20200127-16:40:10-7768,runattr,,,iterationvars,,
General-1-20200127-16:40:10-7768,runattr,,,iterationvarsf,,
General-1-20200127-16:40:10-7768,runattr,,,measurement,,
General-1-20200127-16:40:10-7768,runattr,,,network,CellularNetwork,
General-1-20200127-16:40:10-7768,runattr,,,processid,7768,
General-1-20200127-16:40:10-7768,runattr,,,repetition,1,
General-1-20200127-16:40:10-7768,runattr,,,replication,#1,
General-1-20200127-16:40:10-7768,runattr,,,resultdir,results,
General-1-20200127-16:40:10-7768,runattr,,,runnumber,1,
General-1-20200127-16:40:10-7768,runattr,,,seedset,1,
General-1-20200127-16:40:10-7768,param,,,**.nUsers,10,
General-1-20200127-16:40:10-7768,param,,,**.antenna.timeslot,1ms,
General-1-20200127-16:40:10-7768,param,,,**.antenna.lambda,2ms,
General-1-20200127-16:40:10-7768,param,,,**.antenna.successProbGroup1,0.2,
General-1-20200127-16:40:10-7768,param,,,**.antenna.successProbGroup2,0.5,
General-1-20200127-16:40:10-7768,param,,,**.antenna.successProbGroup3,0.9,
General-1-20200127-16:40:10-7768,param,,,**.antenna.isBinomial,true,
General-14-20200127-16:41:27-13324,runattr,,,configname,General,
General-14-20200127-16:41:27-13324,runattr,,,datetime,20200127-16:41:27,
General-14-20200127-16:41:27-13324,runattr,,,experiment,General,
General-14-20200127-16:41:27-13324,runattr,,,inifile,omnetpp.ini,
General-14-20200127-16:41:27-13324,runattr,,,iterationvars,,
General-14-20200127-16:41:27-13324,runattr,,,iterationvarsf,,
General-14-20200127-16:41:27-13324,runattr,,,measurement,,
General-14-20200127-16:41:27-13324,runattr,,,network,CellularNetwork,
General-14-20200127-16:41:27-13324,runattr,,,processid,13324,
General-14-20200127-16:41:27-13324,runattr,,,repetition,14,
General-14-20200127-16:41:27-13324,runattr,,,replication,#14,
General-14-20200127-16:41:27-13324,runattr,,,resultdir,results,
General-14-20200127-16:41:27-13324,runattr,,,runnumber,14,
General-14-20200127-16:41:27-13324,runattr,,,seedset,14,
General-14-20200127-16:41:27-13324,param,,,**.nUsers,10,
General-14-20200127-16:41:27-13324,param,,,**.antenna.timeslot,1ms,
General-14-20200127-16:41:27-13324,param,,,**.antenna.lambda,2ms,
General-14-20200127-16:41:27-13324,param,,,**.antenna.successProbGroup1,0.2,
General-14-20200127-16:41:27-13324,param,,,**.antenna.successProbGroup2,0.5,
General-14-20200127-16:41:27-13324,param,,,**.antenna.successProbGroup3,0.9,
General-14-20200127-16:41:27-13324,param,,,**.antenna.isBinomial,true,
General-12-20200127-16:41:13-4508,runattr,,,configname,General,
General-12-20200127-16:41:13-4508,runattr,,,datetime,20200127-16:41:13,
General-12-20200127-16:41:13-4508,runattr,,,experiment,General,
General-12-20200127-16:41:13-4508,runattr,,,inifile,omnetpp.ini,
General-12-20200127-16:41:13-4508,runattr,,,iterationvars,,
General-12-20200127-16:41:13-4508,runattr,,,iterationvarsf,,
General-12-20200127-16:41:13-4508,runattr,,,measurement,,
General-12-20200127-16:41:13-4508,runattr,,,network,CellularNetwork,
General-12-20200127-16:41:13-4508,runattr,,,processid,4508,
General-12-20200127-16:41:13-4508,runattr,,,repetition,12,
General-12-20200127-16:41:13-4508,runattr,,,replication,#12,
General-12-20200127-16:41:13-4508,runattr,,,resultdir,results,
General-12-20200127-16:41:13-4508,runattr,,,runnumber,12,
General-12-20200127-16:41:13-4508,runattr,,,seedset,12,
General-12-20200127-16:41:13-4508,param,,,**.nUsers,10,
General-12-20200127-16:41:13-4508,param,,,**.antenna.timeslot,1ms,
General-12-20200127-16:41:13-4508,param,,,**.antenna.lambda,2ms,
General-12-20200127-16:41:13-4508,param,,,**.antenna.successProbGroup1,0.2,
General-12-20200127-16:41:13-4508,param,,,**.antenna.successProbGroup2,0.5,
General-12-20200127-16:41:13-4508,param,,,**.antenna.successProbGroup3,0.9,
General-12-20200127-16:41:13-4508,param,,,**.antenna.isBinomial,true,
General-0-20200127-16:40:04-19224,runattr,,,configname,General,
General-0-20200127-16:40:04-19224,runattr,,,datetime,20200127-16:40:04,
General-0-20200127-16:40:04-19224,runattr,,,experiment,General,
General-0-20200127-16:40:04-19224,runattr,,,inifile,omnetpp.ini,
General-0-20200127-16:40:04-19224,runattr,,,iterationvars,,
General-0-20200127-16:40:04-19224,runattr,,,iterationvarsf,,
General-0-20200127-16:40:04-19224,runattr,,,measurement,,
General-0-20200127-16:40:04-19224,runattr,,,network,CellularNetwork,
General-0-20200127-16:40:04-19224,runattr,,,processid,19224,
General-0-20200127-16:40:04-19224,runattr,,,repetition,0,
General-0-20200127-16:40:04-19224,runattr,,,replication,#0,
General-0-20200127-16:40:04-19224,runattr,,,resultdir,results,
General-0-20200127-16:40:04-19224,runattr,,,runnumber,0,
General-0-20200127-16:40:04-19224,runattr,,,seedset,0,
