run,type,module,name,attrname,attrvalue,value
General-14-20200127-19:27:24-18736,runattr,,,configname,General,
General-14-20200127-19:27:24-18736,runattr,,,datetime,20200127-19:27:24,
General-14-20200127-19:27:24-18736,runattr,,,experiment,General,
General-14-20200127-19:27:24-18736,runattr,,,inifile,omnetpp.ini,
General-14-20200127-19:27:24-18736,runattr,,,iterationvars,,
General-14-20200127-19:27:24-18736,runattr,,,iterationvarsf,,
General-14-20200127-19:27:24-18736,runattr,,,measurement,,
General-14-20200127-19:27:24-18736,runattr,,,network,CellularNetwork,
General-14-20200127-19:27:24-18736,runattr,,,processid,18736,
General-14-20200127-19:27:24-18736,runattr,,,repetition,14,
General-14-20200127-19:27:24-18736,runattr,,,replication,#14,
General-14-20200127-19:27:24-18736,runattr,,,resultdir,results,
General-14-20200127-19:27:24-18736,runattr,,,runnumber,14,
General-14-20200127-19:27:24-18736,runattr,,,seedset,14,
General-14-20200127-19:27:24-18736,param,,,**.nUsers,10,
General-14-20200127-19:27:24-18736,param,,,**.antenna.timeslot,1ms,
General-14-20200127-19:27:24-18736,param,,,**.antenna.lambda,0.1ms,
General-14-20200127-19:27:24-18736,param,,,**.antenna.successProbGroup1,0.2,
General-14-20200127-19:27:24-18736,param,,,**.antenna.successProbGroup2,0.5,
General-14-20200127-19:27:24-18736,param,,,**.antenna.successProbGroup3,0.9,
General-14-20200127-19:27:24-18736,param,,,**.antenna.isBinomial,false,
General-10-20200127-19:21:40-19684,runattr,,,configname,General,
General-10-20200127-19:21:40-19684,runattr,,,datetime,20200127-19:21:40,
General-10-20200127-19:21:40-19684,runattr,,,experiment,General,
General-10-20200127-19:21:40-19684,runattr,,,inifile,omnetpp.ini,
General-10-20200127-19:21:40-19684,runattr,,,iterationvars,,
General-10-20200127-19:21:40-19684,runattr,,,iterationvarsf,,
General-10-20200127-19:21:40-19684,runattr,,,measurement,,
General-10-20200127-19:21:40-19684,runattr,,,network,CellularNetwork,
General-10-20200127-19:21:40-19684,runattr,,,processid,19684,
General-10-20200127-19:21:40-19684,runattr,,,repetition,10,
General-10-20200127-19:21:40-19684,runattr,,,replication,#10,
General-10-20200127-19:21:40-19684,runattr,,,resultdir,results,
General-10-20200127-19:21:40-19684,runattr,,,runnumber,10,
General-10-20200127-19:21:40-19684,runattr,,,seedset,10,
General-10-20200127-19:21:40-19684,param,,,**.nUsers,10,
General-10-20200127-19:21:40-19684,param,,,**.antenna.timeslot,1ms,
General-10-20200127-19:21:40-19684,param,,,**.antenna.lambda,0.1ms,
General-10-20200127-19:21:40-19684,param,,,**.antenna.successProbGroup1,0.2,
General-10-20200127-19:21:40-19684,param,,,**.antenna.successProbGroup2,0.5,
General-10-20200127-19:21:40-19684,param,,,**.antenna.successProbGroup3,0.9,
