run,type,module,name,attrname,attrvalue,value
General-14-20200127-23:04:30-6784,runattr,,,configname,General,
General-14-20200127-23:04:30-6784,runattr,,,datetime,20200127-23:04:30,
General-14-20200127-23:04:30-6784,runattr,,,experiment,General,
General-14-20200127-23:04:30-6784,runattr,,,inifile,omnetpp.ini,
General-14-20200127-23:04:30-6784,runattr,,,iterationvars,,
General-14-20200127-23:04:30-6784,runattr,,,iterationvarsf,,
General-14-20200127-23:04:30-6784,runattr,,,measurement,,
General-14-20200127-23:04:30-6784,runattr,,,network,CellularNetwork,
General-14-20200127-23:04:30-6784,runattr,,,processid,6784,
General-14-20200127-23:04:30-6784,runattr,,,repetition,14,
General-14-20200127-23:04:30-6784,runattr,,,replication,#14,
General-14-20200127-23:04:30-6784,runattr,,,resultdir,results,
General-14-20200127-23:04:30-6784,runattr,,,runnumber,14,
General-14-20200127-23:04:30-6784,runattr,,,seedset,14,
General-14-20200127-23:04:30-6784,param,,,**.nUsers,10,
General-14-20200127-23:04:30-6784,param,,,**.antenna.timeslot,1ms,
General-14-20200127-23:04:30-6784,param,,,**.antenna.lambda,0.9ms,
General-14-20200127-23:04:30-6784,param,,,**.antenna.successProbGroup1,0.2,
General-14-20200127-23:04:30-6784,param,,,**.antenna.successProbGroup2,0.5,
General-14-20200127-23:04:30-6784,param,,,**.antenna.successProbGroup3,0.9,
General-14-20200127-23:04:30-6784,param,,,**.antenna.isBinomial,false,
General-10-20200127-23:03:14-2776,runattr,,,configname,General,
General-10-20200127-23:03:14-2776,runattr,,,datetime,20200127-23:03:14,
General-10-20200127-23:03:14-2776,runattr,,,experiment,General,
General-10-20200127-23:03:14-2776,runattr,,,inifile,omnetpp.ini,
General-10-20200127-23:03:14-2776,runattr,,,iterationvars,,
General-10-20200127-23:03:14-2776,runattr,,,iterationvarsf,,
General-10-20200127-23:03:14-2776,runattr,,,measurement,,
General-10-20200127-23:03:14-2776,runattr,,,network,CellularNetwork,
General-10-20200127-23:03:14-2776,runattr,,,processid,2776,
General-10-20200127-23:03:14-2776,runattr,,,repetition,10,
General-10-20200127-23:03:14-2776,runattr,,,replication,#10,
General-10-20200127-23:03:14-2776,runattr,,,resultdir,results,
General-10-20200127-23:03:14-2776,runattr,,,runnumber,10,
General-10-20200127-23:03:14-2776,runattr,,,seedset,10,
General-10-20200127-23:03:14-2776,param,,,**.nUsers,10,
General-10-20200127-23:03:14-2776,param,,,**.antenna.timeslot,1ms,
General-10-20200127-23:03:14-2776,param,,,**.antenna.lambda,0.9ms,
General-10-20200127-23:03:14-2776,param,,,**.antenna.successProbGroup1,0.2,
General-10-20200127-23:03:14-2776,param,,,**.antenna.successProbGroup2,0.5,
General-10-20200127-23:03:14-2776,param,,,**.antenna.successProbGroup3,0.9,
General-10-20200127-23:03:14-2776,param,,,**.antenna.isBinomial,false,
General-11-20200127-23:03:31-8540,runattr,,,configname,General,
General-11-20200127-23:03:31-8540,runattr,,,datetime,20200127-23:03:31,
General-11-20200127-23:03:31-8540,runattr,,,experiment,General,
General-11-20200127-23:03:31-8540,runattr,,,inifile,omnetpp.ini,
General-11-20200127-23:03:31-8540,runattr,,,iterationvars,,
General-11-20200127-23:03:31-8540,runattr,,,iterationvarsf,,
General-11-20200127-23:03:31-8540,runattr,,,measurement,,
General-11-20200127-23:03:31-8540,runattr,,,network,CellularNetwork,
General-11-20200127-23:03:31-8540,runattr,,,processid,8540,
General-11-20200127-23:03:31-8540,runattr,,,repetition,11,
General-11-20200127-23:03:31-8540,runattr,,,replication,#11,
General-11-20200127-23:03:31-8540,runattr,,,resultdir,results,
General-11-20200127-23:03:31-8540,runattr,,,runnumber,11,
General-11-20200127-23:03:31-8540,runattr,,,seedset,11,
General-11-20200127-23:03:31-8540,param,,,**.nUsers,10,
General-11-20200127-23:03:31-8540,param,,,**.antenna.timeslot,1ms,
General-11-20200127-23:03:31-8540,param,,,**.antenna.lambda,0.9ms,
General-11-20200127-23:03:31-8540,param,,,**.antenna.successProbGroup1,0.2,
General-11-20200127-23:03:31-8540,param,,,**.antenna.successProbGroup2,0.5,
General-11-20200127-23:03:31-8540,param,,,**.antenna.successProbGroup3,0.9,
General-11-20200127-23:03:31-8540,param,,,**.antenna.isBinomial,false,
General-12-20200127-23:03:50-8228,runattr,,,configname,General,
General-12-20200127-23:03:50-8228,runattr,,,datetime,20200127-23:03:50,
General-12-20200127-23:03:50-8228,runattr,,,experiment,General,
General-12-20200127-23:03:50-8228,runattr,,,inifile,omnetpp.ini,
General-12-20200127-23:03:50-8228,runattr,,,iterationvars,,
General-12-20200127-23:03:50-8228,runattr,,,iterationvarsf,,
General-12-20200127-23:03:50-8228,runattr,,,measurement,,
General-12-20200127-23:03:50-8228,runattr,,,network,CellularNetwork,
General-12-20200127-23:03:50-8228,runattr,,,processid,8228,
General-12-20200127-23:03:50-8228,runattr,,,repetition,12,
General-12-20200127-23:03:50-8228,runattr,,,replication,#12,
General-12-20200127-23:03:50-8228,runattr,,,resultdir,results,
General-12-20200127-23:03:50-8228,runattr,,,runnumber,12,
General-12-20200127-23:03:50-8228,runattr,,,seedset,12,
General-12-20200127-23:03:50-8228,param,,,**.nUsers,10,
General-12-20200127-23:03:50-8228,param,,,**.antenna.timeslot,1ms,
General-12-20200127-23:03:50-8228,param,,,**.antenna.lambda,0.9ms,
General-12-20200127-23:03:50-8228,param,,,**.antenna.successProbGroup1,0.2,
General-12-20200127-23:03:50-8228,param,,,**.antenna.successProbGroup2,0.5,
General-12-20200127-23:03:50-8228,param,,,**.antenna.successProbGroup3,0.9,
General-12-20200127-23:03:50-8228,param,,,**.antenna.isBinomial,false,
General-20-20200127-23:06:27-11208,runattr,,,configname,General,
General-20-20200127-23:06:27-11208,runattr,,,datetime,20200127-23:06:27,
General-20-20200127-23:06:27-11208,runattr,,,experiment,General,
General-20-20200127-23:06:27-11208,runattr,,,inifile,omnetpp.ini,
General-20-20200127-23:06:27-11208,runattr,,,iterationvars,,
