run,type,module,name,attrname,attrvalue,value
General-0-20200221-16:10:30-9920,runattr,,,configname,General,
General-0-20200221-16:10:30-9920,runattr,,,datetime,20200221-16:10:30,
General-0-20200221-16:10:30-9920,runattr,,,experiment,General,
General-0-20200221-16:10:30-9920,runattr,,,inifile,omnetpp.ini,
General-0-20200221-16:10:30-9920,runattr,,,iterationvars,$0=0.9ms,
General-0-20200221-16:10:30-9920,runattr,,,iterationvarsf,0.9ms-,
General-0-20200221-16:10:30-9920,runattr,,,measurement,$0=0.9ms,
General-0-20200221-16:10:30-9920,runattr,,,network,CellularNetwork,
General-0-20200221-16:10:30-9920,runattr,,,processid,9920,
General-0-20200221-16:10:30-9920,runattr,,,repetition,0,
General-0-20200221-16:10:30-9920,runattr,,,replication,#0,
General-0-20200221-16:10:30-9920,runattr,,,resultdir,results,
General-0-20200221-16:10:30-9920,runattr,,,runnumber,0,
General-0-20200221-16:10:30-9920,runattr,,,seedset,0,
General-0-20200221-16:10:30-9920,param,,,**.nUsers,10,
General-0-20200221-16:10:30-9920,param,,,**.antenna.timeslot,1ms,
General-0-20200221-16:10:30-9920,param,,,**.antenna.lambda,0.9ms,
General-0-20200221-16:10:30-9920,param,,,**.antenna.successProbGroup1,0.2,
General-0-20200221-16:10:30-9920,param,,,**.antenna.successProbGroup2,0.5,
General-0-20200221-16:10:30-9920,param,,,**.antenna.successProbGroup3,0.9,
General-0-20200221-16:10:30-9920,param,,,**.antenna.isBinomial,false,
General-11-20200221-16:11:01-12996,runattr,,,configname,General,
General-11-20200221-16:11:01-12996,runattr,,,datetime,20200221-16:11:01,
General-11-20200221-16:11:01-12996,runattr,,,experiment,General,
General-11-20200221-16:11:01-12996,runattr,,,inifile,omnetpp.ini,
General-11-20200221-16:11:01-12996,runattr,,,iterationvars,$0=0.9ms,
General-11-20200221-16:11:01-12996,runattr,,,iterationvarsf,0.9ms-,
General-11-20200221-16:11:01-12996,runattr,,,measurement,$0=0.9ms,
General-11-20200221-16:11:01-12996,runattr,,,network,CellularNetwork,
General-11-20200221-16:11:01-12996,runattr,,,processid,12996,
General-11-20200221-16:11:01-12996,runattr,,,repetition,11,
General-11-20200221-16:11:01-12996,runattr,,,replication,#11,
General-11-20200221-16:11:01-12996,runattr,,,resultdir,results,
General-11-20200221-16:11:01-12996,runattr,,,runnumber,11,
General-11-20200221-16:11:01-12996,runattr,,,seedset,11,
General-11-20200221-16:11:01-12996,param,,,**.nUsers,10,
General-11-20200221-16:11:01-12996,param,,,**.antenna.timeslot,1ms,
General-11-20200221-16:11:01-12996,param,,,**.antenna.lambda,0.9ms,
General-11-20200221-16:11:01-12996,param,,,**.antenna.successProbGroup1,0.2,
General-11-20200221-16:11:01-12996,param,,,**.antenna.successProbGroup2,0.5,
General-11-20200221-16:11:01-12996,param,,,**.antenna.successProbGroup3,0.9,
General-11-20200221-16:11:01-12996,param,,,**.antenna.isBinomial,false,
General-14-20200221-16:11:09-6008,runattr,,,configname,General,
General-14-20200221-16:11:09-6008,runattr,,,datetime,20200221-16:11:09,
General-14-20200221-16:11:09-6008,runattr,,,experiment,General,
General-14-20200221-16:11:09-6008,runattr,,,inifile,omnetpp.ini,
General-14-20200221-16:11:09-6008,runattr,,,iterationvars,$0=0.9ms,
General-14-20200221-16:11:09-6008,runattr,,,iterationvarsf,0.9ms-,
General-14-20200221-16:11:09-6008,runattr,,,measurement,$0=0.9ms,
General-14-20200221-16:11:09-6008,runattr,,,network,CellularNetwork,
General-14-20200221-16:11:09-6008,runattr,,,processid,6008,
General-14-20200221-16:11:09-6008,runattr,,,repetition,14,
General-14-20200221-16:11:09-6008,runattr,,,replication,#14,
General-14-20200221-16:11:09-6008,runattr,,,resultdir,results,
General-14-20200221-16:11:09-6008,runattr,,,runnumber,14,
General-14-20200221-16:11:09-6008,runattr,,,seedset,14,
General-14-20200221-16:11:09-6008,param,,,**.nUsers,10,
General-14-20200221-16:11:09-6008,param,,,**.antenna.timeslot,1ms,
General-14-20200221-16:11:09-6008,param,,,**.antenna.lambda,0.9ms,
General-14-20200221-16:11:09-6008,param,,,**.antenna.successProbGroup1,0.2,
General-14-20200221-16:11:09-6008,param,,,**.antenna.successProbGroup2,0.5,
General-14-20200221-16:11:09-6008,param,,,**.antenna.successProbGroup3,0.9,
General-14-20200221-16:11:09-6008,param,,,**.antenna.isBinomial,false,
General-17-20200221-16:11:18-9404,runattr,,,configname,General,
General-17-20200221-16:11:18-9404,runattr,,,datetime,20200221-16:11:18,
General-17-20200221-16:11:18-9404,runattr,,,experiment,General,
General-17-20200221-16:11:18-9404,runattr,,,inifile,omnetpp.ini,
General-17-20200221-16:11:18-9404,runattr,,,iterationvars,$0=0.9ms,
General-17-20200221-16:11:18-9404,runattr,,,iterationvarsf,0.9ms-,
General-17-20200221-16:11:18-9404,runattr,,,measurement,$0=0.9ms,
General-17-20200221-16:11:18-9404,runattr,,,network,CellularNetwork,
General-17-20200221-16:11:18-9404,runattr,,,processid,9404,
General-17-20200221-16:11:18-9404,runattr,,,repetition,17,
General-17-20200221-16:11:18-9404,runattr,,,replication,#17,
General-17-20200221-16:11:18-9404,runattr,,,resultdir,results,
General-17-20200221-16:11:18-9404,runattr,,,runnumber,17,
General-17-20200221-16:11:18-9404,runattr,,,seedset,17,
General-17-20200221-16:11:18-9404,param,,,**.nUsers,10,
General-17-20200221-16:11:18-9404,param,,,**.antenna.timeslot,1ms,
General-17-20200221-16:11:18-9404,param,,,**.antenna.lambda,0.9ms,
General-17-20200221-16:11:18-9404,param,,,**.antenna.successProbGroup1,0.2,
General-17-20200221-16:11:18-9404,param,,,**.antenna.successProbGroup2,0.5,
General-17-20200221-16:11:18-9404,param,,,**.antenna.successProbGroup3,0.9,
General-17-20200221-16:11:18-9404,param,,,**.antenna.isBinomial,false,
General-15-20200221-16:11:12-18880,runattr,,,configname,General,
General-15-20200221-16:11:12-18880,runattr,,,datetime,20200221-16:11:12,
General-15-20200221-16:11:12-18880,runattr,,,experiment,General,
General-15-20200221-16:11:12-18880,runattr,,,inifile,omnetpp.ini,
General-15-20200221-16:11:12-18880,runattr,,,iterationvars,$0=0.9ms,
General-15-20200221-16:11:12-18880,runattr,,,iterationvarsf,0.9ms-,
General-15-20200221-16:11:12-18880,runattr,,,measurement,$0=0.9ms,
General-15-20200221-16:11:12-18880,runattr,,,network,CellularNetwork,
General-15-20200221-16:11:12-18880,runattr,,,processid,18880,
General-15-20200221-16:11:12-18880,runattr,,,repetition,15,
General-15-20200221-16:11:12-18880,runattr,,,replication,#15,
General-15-20200221-16:11:12-18880,runattr,,,resultdir,results,
General-15-20200221-16:11:12-18880,runattr,,,runnumber,15,
General-15-20200221-16:11:12-18880,runattr,,,seedset,15,
General-15-20200221-16:11:12-18880,param,,,**.nUsers,10,
General-15-20200221-16:11:12-18880,param,,,**.antenna.timeslot,1ms,
General-15-20200221-16:11:12-18880,param,,,**.antenna.lambda,0.9ms,
General-15-20200221-16:11:12-18880,param,,,**.antenna.successProbGroup1,0.2,
General-15-20200221-16:11:12-18880,param,,,**.antenna.successProbGroup2,0.5,
General-15-20200221-16:11:12-18880,param,,,**.antenna.successProbGroup3,0.9,
General-15-20200221-16:11:12-18880,param,,,**.antenna.isBinomial,false,
General-16-20200221-16:11:15-18744,runattr,,,configname,General,
General-16-20200221-16:11:15-18744,runattr,,,datetime,20200221-16:11:15,
General-16-20200221-16:11:15-18744,runattr,,,experiment,General,
General-16-20200221-16:11:15-18744,runattr,,,inifile,omnetpp.ini,
General-16-20200221-16:11:15-18744,runattr,,,iterationvars,$0=0.9ms,
General-16-20200221-16:11:15-18744,runattr,,,iterationvarsf,0.9ms-,
General-16-20200221-16:11:15-18744,runattr,,,measurement,$0=0.9ms,
General-16-20200221-16:11:15-18744,runattr,,,network,CellularNetwork,
General-16-20200221-16:11:15-18744,runattr,,,processid,18744,
General-16-20200221-16:11:15-18744,runattr,,,repetition,16,
General-16-20200221-16:11:15-18744,runattr,,,replication,#16,
General-16-20200221-16:11:15-18744,runattr,,,resultdir,results,
General-16-20200221-16:11:15-18744,runattr,,,runnumber,16,
General-16-20200221-16:11:15-18744,runattr,,,seedset,16,
General-16-20200221-16:11:15-18744,param,,,**.nUsers,10,
General-16-20200221-16:11:15-18744,param,,,**.antenna.timeslot,1ms,
General-16-20200221-16:11:15-18744,param,,,**.antenna.lambda,0.9ms,
General-16-20200221-16:11:15-18744,param,,,**.antenna.successProbGroup1,0.2,
General-16-20200221-16:11:15-18744,param,,,**.antenna.successProbGroup2,0.5,
General-16-20200221-16:11:15-18744,param,,,**.antenna.successProbGroup3,0.9,
General-16-20200221-16:11:15-18744,param,,,**.antenna.isBinomial,false,
General-19-20200221-16:11:23-5008,runattr,,,configname,General,
General-19-20200221-16:11:23-5008,runattr,,,datetime,20200221-16:11:23,
General-19-20200221-16:11:23-5008,runattr,,,experiment,General,
General-19-20200221-16:11:23-5008,runattr,,,inifile,omnetpp.ini,
General-19-20200221-16:11:23-5008,runattr,,,iterationvars,$0=0.9ms,
General-19-20200221-16:11:23-5008,runattr,,,iterationvarsf,0.9ms-,
General-19-20200221-16:11:23-5008,runattr,,,measurement,$0=0.9ms,
General-19-20200221-16:11:23-5008,runattr,,,network,CellularNetwork,
General-19-20200221-16:11:23-5008,runattr,,,processid,5008,
General-19-20200221-16:11:23-5008,runattr,,,repetition,19,
General-19-20200221-16:11:23-5008,runattr,,,replication,#19,
General-19-20200221-16:11:23-5008,runattr,,,resultdir,results,
General-19-20200221-16:11:23-5008,runattr,,,runnumber,19,
General-19-20200221-16:11:23-5008,runattr,,,seedset,19,
General-19-20200221-16:11:23-5008,param,,,**.nUsers,10,
General-19-20200221-16:11:23-5008,param,,,**.antenna.timeslot,1ms,
General-19-20200221-16:11:23-5008,param,,,**.antenna.lambda,0.9ms,
General-19-20200221-16:11:23-5008,param,,,**.antenna.successProbGroup1,0.2,
General-19-20200221-16:11:23-5008,param,,,**.antenna.successProbGroup2,0.5,
General-19-20200221-16:11:23-5008,param,,,**.antenna.successProbGroup3,0.9,
General-19-20200221-16:11:23-5008,param,,,**.antenna.isBinomial,false,
General-18-20200221-16:11:21-2536,runattr,,,configname,General,
General-18-20200221-16:11:21-2536,runattr,,,datetime,20200221-16:11:21,
General-18-20200221-16:11:21-2536,runattr,,,experiment,General,
General-18-20200221-16:11:21-2536,runattr,,,inifile,omnetpp.ini,
General-18-20200221-16:11:21-2536,runattr,,,iterationvars,$0=0.9ms,
General-18-20200221-16:11:21-2536,runattr,,,iterationvarsf,0.9ms-,
General-18-20200221-16:11:21-2536,runattr,,,measurement,$0=0.9ms,
General-18-20200221-16:11:21-2536,runattr,,,network,CellularNetwork,
General-18-20200221-16:11:21-2536,runattr,,,processid,2536,
General-18-20200221-16:11:21-2536,runattr,,,repetition,18,
General-18-20200221-16:11:21-2536,runattr,,,replication,#18,
General-18-20200221-16:11:21-2536,runattr,,,resultdir,results,
General-18-20200221-16:11:21-2536,runattr,,,runnumber,18,
General-18-20200221-16:11:21-2536,runattr,,,seedset,18,
General-18-20200221-16:11:21-2536,param,,,**.nUsers,10,
General-18-20200221-16:11:21-2536,param,,,**.antenna.timeslot,1ms,
General-18-20200221-16:11:21-2536,param,,,**.antenna.lambda,0.9ms,
General-18-20200221-16:11:21-2536,param,,,**.antenna.successProbGroup1,0.2,
General-18-20200221-16:11:21-2536,param,,,**.antenna.successProbGroup2,0.5,
General-18-20200221-16:11:21-2536,param,,,**.antenna.successProbGroup3,0.9,
General-18-20200221-16:11:21-2536,param,,,**.antenna.isBinomial,false,
General-20-20200221-16:11:26-16424,runattr,,,configname,General,
General-20-20200221-16:11:26-16424,runattr,,,datetime,20200221-16:11:26,
General-20-20200221-16:11:26-16424,runattr,,,experiment,General,
General-20-20200221-16:11:26-16424,runattr,,,inifile,omnetpp.ini,
General-20-20200221-16:11:26-16424,runattr,,,iterationvars,$0=0.9ms,
General-20-20200221-16:11:26-16424,runattr,,,iterationvarsf,0.9ms-,
General-20-20200221-16:11:26-16424,runattr,,,measurement,$0=0.9ms,
General-20-20200221-16:11:26-16424,runattr,,,network,CellularNetwork,
General-20-20200221-16:11:26-16424,runattr,,,processid,16424,
General-20-20200221-16:11:26-16424,runattr,,,repetition,20,
General-20-20200221-16:11:26-16424,runattr,,,replication,#20,
General-20-20200221-16:11:26-16424,runattr,,,resultdir,results,
General-20-20200221-16:11:26-16424,runattr,,,runnumber,20,
General-20-20200221-16:11:26-16424,runattr,,,seedset,20,
General-20-20200221-16:11:26-16424,param,,,**.nUsers,10,
General-20-20200221-16:11:26-16424,param,,,**.antenna.timeslot,1ms,
General-20-20200221-16:11:26-16424,param,,,**.antenna.lambda,0.9ms,
General-20-20200221-16:11:26-16424,param,,,**.antenna.successProbGroup1,0.2,
General-20-20200221-16:11:26-16424,param,,,**.antenna.successProbGroup2,0.5,
General-20-20200221-16:11:26-16424,param,,,**.antenna.successProbGroup3,0.9,
General-20-20200221-16:11:26-16424,param,,,**.antenna.isBinomial,false,
General-21-20200221-16:11:29-19896,runattr,,,configname,General,
General-21-20200221-16:11:29-19896,runattr,,,datetime,20200221-16:11:29,
General-21-20200221-16:11:29-19896,runattr,,,experiment,General,
General-21-20200221-16:11:29-19896,runattr,,,inifile,omnetpp.ini,
General-21-20200221-16:11:29-19896,runattr,,,iterationvars,$0=0.9ms,
General-21-20200221-16:11:29-19896,runattr,,,iterationvarsf,0.9ms-,
General-21-20200221-16:11:29-19896,runattr,,,measurement,$0=0.9ms,
General-21-20200221-16:11:29-19896,runattr,,,network,CellularNetwork,
General-21-20200221-16:11:29-19896,runattr,,,processid,19896,
General-21-20200221-16:11:29-19896,runattr,,,repetition,21,
General-21-20200221-16:11:29-19896,runattr,,,replication,#21,
General-21-20200221-16:11:29-19896,runattr,,,resultdir,results,
General-21-20200221-16:11:29-19896,runattr,,,runnumber,21,
General-21-20200221-16:11:29-19896,runattr,,,seedset,21,
General-21-20200221-16:11:29-19896,param,,,**.nUsers,10,
