run,type,module,name,attrname,attrvalue,value
General-14-20200224-18:10:21-21524,param,,,**.antenna.successProbGroup2,0.25,
General-14-20200224-18:10:21-21524,param,,,**.antenna.successProbGroup3,0.625,
General-14-20200224-18:10:21-21524,param,,,**.antenna.isBinomial,false,
General-80-20200224-18:12:06-14560,runattr,,,configname,General,
General-80-20200224-18:12:06-14560,runattr,,,datetime,20200224-18:12:06,
General-80-20200224-18:12:06-14560,runattr,,,experiment,General,
General-80-20200224-18:12:06-14560,runattr,,,inifile,omnetpp.ini,
General-80-20200224-18:12:06-14560,runattr,,,iterationvars,$0=5ms,
General-80-20200224-18:12:06-14560,runattr,,,iterationvarsf,5ms-,
General-80-20200224-18:12:06-14560,runattr,,,measurement,$0=5ms,
General-80-20200224-18:12:06-14560,runattr,,,network,CellularNetwork,
General-80-20200224-18:12:06-14560,runattr,,,processid,14560,
General-80-20200224-18:12:06-14560,runattr,,,repetition,80,
General-80-20200224-18:12:06-14560,runattr,,,replication,#80,
General-80-20200224-18:12:06-14560,runattr,,,resultdir,results,
General-80-20200224-18:12:06-14560,runattr,,,runnumber,80,
General-80-20200224-18:12:06-14560,runattr,,,seedset,80,
General-80-20200224-18:12:06-14560,param,,,**.nUsers,10,
General-80-20200224-18:12:06-14560,param,,,**.antenna.timeslot,1ms,
General-80-20200224-18:12:06-14560,param,,,**.antenna.lambda,5ms,
General-80-20200224-18:12:06-14560,param,,,**.antenna.successProbGroup1,0.125,
General-80-20200224-18:12:06-14560,param,,,**.antenna.successProbGroup2,0.25,
General-80-20200224-18:12:06-14560,param,,,**.antenna.successProbGroup3,0.625,
General-80-20200224-18:12:06-14560,param,,,**.antenna.isBinomial,false,
General-84-20200224-18:12:13-22220,runattr,,,configname,General,
General-84-20200224-18:12:13-22220,runattr,,,datetime,20200224-18:12:13,
General-84-20200224-18:12:13-22220,runattr,,,experiment,General,
General-84-20200224-18:12:13-22220,runattr,,,inifile,omnetpp.ini,
General-84-20200224-18:12:13-22220,runattr,,,iterationvars,$0=5ms,
General-84-20200224-18:12:13-22220,runattr,,,iterationvarsf,5ms-,
General-84-20200224-18:12:13-22220,runattr,,,measurement,$0=5ms,
General-84-20200224-18:12:13-22220,runattr,,,network,CellularNetwork,
General-84-20200224-18:12:13-22220,runattr,,,processid,22220,
General-84-20200224-18:12:13-22220,runattr,,,repetition,84,
General-84-20200224-18:12:13-22220,runattr,,,replication,#84,
General-84-20200224-18:12:13-22220,runattr,,,resultdir,results,
General-84-20200224-18:12:13-22220,runattr,,,runnumber,84,
General-84-20200224-18:12:13-22220,runattr,,,seedset,84,
General-84-20200224-18:12:13-22220,param,,,**.nUsers,10,
General-84-20200224-18:12:13-22220,param,,,**.antenna.timeslot,1ms,
General-84-20200224-18:12:13-22220,param,,,**.antenna.lambda,5ms,
General-84-20200224-18:12:13-22220,param,,,**.antenna.successProbGroup1,0.125,
General-84-20200224-18:12:13-22220,param,,,**.antenna.successProbGroup2,0.25,
General-84-20200224-18:12:13-22220,param,,,**.antenna.successProbGroup3,0.625,
General-84-20200224-18:12:13-22220,param,,,**.antenna.isBinomial,false,
