run,type,module,name,attrname,attrvalue,value
General-13-20200127-18:31:08-22264,param,,,**.antenna.isBinomial,false,
General-15-20200127-18:31:30-9140,runattr,,,configname,General,
General-15-20200127-18:31:30-9140,runattr,,,datetime,20200127-18:31:30,
General-15-20200127-18:31:30-9140,runattr,,,experiment,General,
General-15-20200127-18:31:30-9140,runattr,,,inifile,omnetpp.ini,
General-15-20200127-18:31:30-9140,runattr,,,iterationvars,,
General-15-20200127-18:31:30-9140,runattr,,,iterationvarsf,,
General-15-20200127-18:31:30-9140,runattr,,,measurement,,
General-15-20200127-18:31:30-9140,runattr,,,network,CellularNetwork,
General-15-20200127-18:31:30-9140,runattr,,,processid,9140,
General-15-20200127-18:31:30-9140,runattr,,,repetition,15,
General-15-20200127-18:31:30-9140,runattr,,,replication,#15,
General-15-20200127-18:31:30-9140,runattr,,,resultdir,results,
General-15-20200127-18:31:30-9140,runattr,,,runnumber,15,
General-15-20200127-18:31:30-9140,runattr,,,seedset,15,
General-15-20200127-18:31:30-9140,param,,,**.nUsers,10,
General-15-20200127-18:31:30-9140,param,,,**.antenna.timeslot,1ms,
General-15-20200127-18:31:30-9140,param,,,**.antenna.lambda,5ms,
General-15-20200127-18:31:30-9140,param,,,**.antenna.successProbGroup1,0.2,
General-15-20200127-18:31:30-9140,param,,,**.antenna.successProbGroup2,0.5,
General-15-20200127-18:31:30-9140,param,,,**.antenna.successProbGroup3,0.9,
General-15-20200127-18:31:30-9140,param,,,**.antenna.isBinomial,false,
General-16-20200127-18:31:38-12440,runattr,,,configname,General,
General-16-20200127-18:31:38-12440,runattr,,,datetime,20200127-18:31:38,
General-16-20200127-18:31:38-12440,runattr,,,experiment,General,
General-16-20200127-18:31:38-12440,runattr,,,inifile,omnetpp.ini,
General-16-20200127-18:31:38-12440,runattr,,,iterationvars,,
General-16-20200127-18:31:38-12440,runattr,,,iterationvarsf,,
General-16-20200127-18:31:38-12440,runattr,,,measurement,,
General-16-20200127-18:31:38-12440,runattr,,,network,CellularNetwork,
General-16-20200127-18:31:38-12440,runattr,,,processid,12440,
General-16-20200127-18:31:38-12440,runattr,,,repetition,16,
General-16-20200127-18:31:38-12440,runattr,,,replication,#16,
General-16-20200127-18:31:38-12440,runattr,,,resultdir,results,
General-16-20200127-18:31:38-12440,runattr,,,runnumber,16,
General-16-20200127-18:31:38-12440,runattr,,,seedset,16,
General-16-20200127-18:31:38-12440,param,,,**.nUsers,10,
General-16-20200127-18:31:38-12440,param,,,**.antenna.timeslot,1ms,
General-16-20200127-18:31:38-12440,param,,,**.antenna.lambda,5ms,
General-16-20200127-18:31:38-12440,param,,,**.antenna.successProbGroup1,0.2,
General-16-20200127-18:31:38-12440,param,,,**.antenna.successProbGroup2,0.5,
General-16-20200127-18:31:38-12440,param,,,**.antenna.successProbGroup3,0.9,
General-16-20200127-18:31:38-12440,param,,,**.antenna.isBinomial,false,
General-17-20200127-18:31:47-13668,runattr,,,configname,General,
