run,type,module,name,attrname,attrvalue,value
General-2-20200518-16:02:49-21092,runattr,,,configname,General,
General-2-20200518-16:02:49-21092,runattr,,,datetime,20200518-16:02:49,
General-2-20200518-16:02:49-21092,runattr,,,experiment,General,
General-2-20200518-16:02:49-21092,runattr,,,inifile,omnetpp.ini,
General-2-20200518-16:02:49-21092,runattr,,,iterationvars,$0=5ms,
General-2-20200518-16:02:49-21092,runattr,,,iterationvarsf,5ms-,
General-2-20200518-16:02:49-21092,runattr,,,measurement,$0=5ms,
General-2-20200518-16:02:49-21092,runattr,,,network,CellularNetwork,
General-2-20200518-16:02:49-21092,runattr,,,processid,21092,
General-2-20200518-16:02:49-21092,runattr,,,repetition,2,
General-2-20200518-16:02:49-21092,runattr,,,replication,#2,
General-2-20200518-16:02:49-21092,runattr,,,resultdir,results,
General-2-20200518-16:02:49-21092,runattr,,,runnumber,2,
General-2-20200518-16:02:49-21092,runattr,,,seedset,2,
General-2-20200518-16:02:49-21092,param,,,**.nUsers,10,
General-2-20200518-16:02:49-21092,param,,,**.timeslot,1ms,
General-2-20200518-16:02:49-21092,param,,,**.lambda,5ms,
General-2-20200518-16:02:49-21092,param,,,**.successProbGroup1,0.08,
General-2-20200518-16:02:49-21092,param,,,**.successProbGroup2,0,
General-2-20200518-16:02:49-21092,param,,,**.successProbGroup3,0.85,
General-2-20200518-16:02:49-21092,param,,,**.isBinomial,true,
General-3-20200518-16:02:51-18164,runattr,,,configname,General,
General-3-20200518-16:02:51-18164,runattr,,,datetime,20200518-16:02:51,
General-3-20200518-16:02:51-18164,runattr,,,experiment,General,
General-3-20200518-16:02:51-18164,runattr,,,inifile,omnetpp.ini,
General-3-20200518-16:02:51-18164,runattr,,,iterationvars,$0=5ms,
General-3-20200518-16:02:51-18164,runattr,,,iterationvarsf,5ms-,
General-3-20200518-16:02:51-18164,runattr,,,measurement,$0=5ms,
General-3-20200518-16:02:51-18164,runattr,,,network,CellularNetwork,
General-3-20200518-16:02:51-18164,runattr,,,processid,18164,
General-3-20200518-16:02:51-18164,runattr,,,repetition,3,
General-3-20200518-16:02:51-18164,runattr,,,replication,#3,
General-3-20200518-16:02:51-18164,runattr,,,resultdir,results,
General-3-20200518-16:02:51-18164,runattr,,,runnumber,3,
General-3-20200518-16:02:51-18164,runattr,,,seedset,3,
General-3-20200518-16:02:51-18164,param,,,**.nUsers,10,
General-3-20200518-16:02:51-18164,param,,,**.timeslot,1ms,
General-3-20200518-16:02:51-18164,param,,,**.lambda,5ms,
General-3-20200518-16:02:51-18164,param,,,**.successProbGroup1,0.08,
General-3-20200518-16:02:51-18164,param,,,**.successProbGroup2,0,
General-3-20200518-16:02:51-18164,param,,,**.successProbGroup3,0.85,
General-3-20200518-16:02:51-18164,param,,,**.isBinomial,true,
General-0-20200518-16:02:46-10984,runattr,,,configname,General,
General-0-20200518-16:02:46-10984,runattr,,,datetime,20200518-16:02:46,
General-0-20200518-16:02:46-10984,runattr,,,experiment,General,
General-0-20200518-16:02:46-10984,runattr,,,inifile,omnetpp.ini,
General-0-20200518-16:02:46-10984,runattr,,,iterationvars,$0=5ms,
General-0-20200518-16:02:46-10984,runattr,,,iterationvarsf,5ms-,
General-0-20200518-16:02:46-10984,runattr,,,measurement,$0=5ms,
General-0-20200518-16:02:46-10984,runattr,,,network,CellularNetwork,
General-0-20200518-16:02:46-10984,runattr,,,processid,10984,
General-0-20200518-16:02:46-10984,runattr,,,repetition,0,
General-0-20200518-16:02:46-10984,runattr,,,replication,#0,
General-0-20200518-16:02:46-10984,runattr,,,resultdir,results,
General-0-20200518-16:02:46-10984,runattr,,,runnumber,0,
General-0-20200518-16:02:46-10984,runattr,,,seedset,0,
General-0-20200518-16:02:46-10984,param,,,**.nUsers,10,
General-0-20200518-16:02:46-10984,param,,,**.timeslot,1ms,
General-0-20200518-16:02:46-10984,param,,,**.lambda,5ms,
General-0-20200518-16:02:46-10984,param,,,**.successProbGroup1,0.08,
General-0-20200518-16:02:46-10984,param,,,**.successProbGroup2,0,
General-0-20200518-16:02:46-10984,param,,,**.successProbGroup3,0.85,
General-0-20200518-16:02:46-10984,param,,,**.isBinomial,true,
General-6-20200518-16:02:56-3108,runattr,,,configname,General,
General-6-20200518-16:02:56-3108,runattr,,,datetime,20200518-16:02:56,
General-6-20200518-16:02:56-3108,runattr,,,experiment,General,
General-6-20200518-16:02:56-3108,runattr,,,inifile,omnetpp.ini,
General-6-20200518-16:02:56-3108,runattr,,,iterationvars,$0=5ms,
General-6-20200518-16:02:56-3108,runattr,,,iterationvarsf,5ms-,
General-6-20200518-16:02:56-3108,runattr,,,measurement,$0=5ms,
General-6-20200518-16:02:56-3108,runattr,,,network,CellularNetwork,
General-6-20200518-16:02:56-3108,runattr,,,processid,3108,
General-6-20200518-16:02:56-3108,runattr,,,repetition,6,
General-6-20200518-16:02:56-3108,runattr,,,replication,#6,
General-6-20200518-16:02:56-3108,runattr,,,resultdir,results,
General-6-20200518-16:02:56-3108,runattr,,,runnumber,6,
General-6-20200518-16:02:56-3108,runattr,,,seedset,6,
General-6-20200518-16:02:56-3108,param,,,**.nUsers,10,
General-6-20200518-16:02:56-3108,param,,,**.timeslot,1ms,
General-6-20200518-16:02:56-3108,param,,,**.lambda,5ms,
General-6-20200518-16:02:56-3108,param,,,**.successProbGroup1,0.08,
General-6-20200518-16:02:56-3108,param,,,**.successProbGroup2,0,
General-6-20200518-16:02:56-3108,param,,,**.successProbGroup3,0.85,
General-6-20200518-16:02:56-3108,param,,,**.isBinomial,true,
General-9-20200518-16:03:01-20280,runattr,,,configname,General,
General-9-20200518-16:03:01-20280,runattr,,,datetime,20200518-16:03:01,
General-9-20200518-16:03:01-20280,runattr,,,experiment,General,
